Posted Date,Reference Number,Payee,Address,Amount
01/03/2026,24231686003602787916714,DAWN BREAK ROASTERS NEW YORK NY,NEW YORK      NY ,-129.53
01/03/2026,24435656003147422038422,BOOKSHOP ONLINE BOOKSHOP.ORG NY,BOOKSHOP.ORG  NY ,-241.58
01/03/2026,24435656003147423368851,EASTSIDE VISION CARE BROOKLYN NY,BROOKLYN      NY ,-3.81
01/02/2026,24492166002100016882078,HOME ASSISTANT CLOUD NABUCASA.COM CA,NABUCASA.COM CA ,-566.64
01/02/2026,24231685365600144132938,CORNERSTONE MARKET NEW YORK NY,NEW YORK      NY ,-5.00
12/31/2025,24011345365100029374306,THE IRON FORK NEW YORK NY,NEW YORK      NY ,-20.00
12/31/2025,24943015364010197724906,SUMMIT HOTEL PALM BEACH FL,PALM BEACH    FL ,-152.28
12/29/2025,24011345363100034715446,THE COPPER RAIL BROOKLYN NY,BROOKLYN      NY ,-50.00
12/29/2025,24765015362597184406668,INNOTECH DEVICES INNOTECH.COM CA,INNOTECH.COM  CA ,-7.16
12/29/2025,24755425362173627999173,CEDAR RIDGE BURGERS BROOKLYN NY,BROOKLYN      NY ,-3.11
12/29/2025,24164075361105441744558,PAYPAL *MARKETPLACE 402-935-7733 IL,402-935-7733 IL ,-54.42
12/27/2025,24137465360300583630420,THE IRON ANCHOR NEW YORK NY,NEW YORK      NY ,-5.98
12/27/2025,24034545360005373634028,SP NORTHCRAFT GEAR northcraft.com CA,northcraft.com CA ,-19.30
12/27/2025,24269795360500271984100,TST* RED OAK TAVERN BROOKLYN NY,BROOKLYN      NY ,-52.41
12/24/2025,24427335357720240297900,RIDGELINE CAFE NEW YORK NY,NEW YORK      NY ,-179.94
12/24/2025,24000775358100008978432,TRADEPOST *PURCHASE 800-456-3229 CA,800-456-3229  CA ,-25.00
12/23/2025,24231685357591251820169,TIMBERWOLF HARDWARE BROOKLYN NY,BROOKLYN      NY ,-14.14
12/23/2025,24692165356103142221411,THE LONG POUR NEW YORK NY,NEW YORK      NY ,-53.50
12/23/2025,24137465356100295087687,SPECTACLE EVENT CO BROOKLYN NY,BROOKLYN      NY ,-52.90
12/23/2025,24692165356102587048644,MTA*NYCT PAYGO NEW YORK NY,NEW YORK      NY ,-30.00
12/22/2025,24039825355900018300258,CLEARPATH SERVICES NEW YORK NY,NEW YORK      NY ,-20.37
12/22/2025,24692165355101363587529,CITY FRESH GROCERY NEW YORK NY,NEW YORK      NY ,-1611.00
12/22/2025,24064665355100001518820,PULSE FITNESS NEW YORK NY,NEW YORK      NY ,-12.95
12/18/2025,24445005351300539500331,CINEMALOG PADDLE.COM NY,PADDLE.COM    NY ,-52.26
12/17/2025,24003415350900013251214,THE GREEN AISLE BROOKLYN NY,BROOKLYN      NY ,-5.45
12/17/2025,24692165350109476530281,SP CLEARWATER GOODS CLEARGOODS.COM CA,CLEARGOODS.CO CA ,-173.00
12/16/2025,24692165350109226406196,MESA VERDE KITCHEN NEW YORK NY,NEW YORK      NY ,-58.82
12/16/2025,24137465349501015503798,SP HAUS OF TOOLS HAUSOFTOOLS.COM CA,HAUSOFTOOLS.C CA ,-54.37
12/16/2025,24692165349108421130183,SUNDOG THAI KITCHEN NEW YORK NY,NEW YORK      NY ,-105.02
12/15/2025,24943015348010204929937,THE AMBER ROOM NEW YORK NY,NEW YORK      NY ,-2.69
12/15/2025,24011345348100108594727,SQ *STORMCROW TAPAS Brooklyn NY,Brooklyn      NY ,-148.50
12/15/2025,24492165348100013862680,ROOFTOP PILSNER CO BROOKLYN NY,BROOKLYN      NY ,-142.87
12/15/2025,24064665348100001625054,GROVE MARKET #12 NEW YORK NY,NEW YORK      NY ,-12.95
12/15/2025,24011345348100004432188,SQ *MARIGOLD MARKET Brooklyn NY,Brooklyn      NY ,-16.44
12/13/2025,24692165346105891900999,RIDGELINE SUPPLY BROOKLYN NY,BROOKLYN      NY ,-21.78
12/13/2025,24692165346105184617805,CLOUDSPAN HOSTING cloudspan.com CA,cloudspan.com CA ,-12.79
