Posted Date,Reference Number,Payee,Address,Amount
04/04/2026,24011346094100037646048,MUSICPASS* PREMIUM g.co/helppay# CA,g.co/helppay# CA ,-30.00
04/04/2026,24036296093716026143454,EASTSIDE VISION CARE BROOKLYN NY,BROOKLYN      NY ,-24.06
04/04/2026,24692166093102773322106,SP CLEARPATH GOODS clearpath.com NY,clearpath.com NY ,-3.00
04/03/2026,24692166093102726066453,CINEMALOG PADDLE.COM NY,PADDLE.COM    NY ,-3.00
04/03/2026,74985266092469036213806,HARBOR PORTER PUB BROOKLYN NY,BROOKLYN      NY ,-16.80
04/03/2026,24943016092010184228066,FOXFIRE NOODLES NEW YORK NY,NEW YORK      NY ,-27.62
04/02/2026,24137466091501053173122,E-Z*TOLL REBILL 800-333-0000 NY,800-333-0000  NY ,-32.31
04/02/2026,24692166091100798483574,NEWSFEED*DIGITAL NEWSFEED.SUB CT,NEWSFEED.SUB  CT ,-30.00
04/01/2026,24011346090100134523698,CORNERSTONE MARKET NEW YORK NY,NEW YORK      NY ,-10.00
04/01/2026,24055236090699229534270,TIMBERWOLF HARDWARE BROOKLYN NY,BROOKLYN      NY ,-37.96
04/01/2026,24055236090699229386481,METROPOLITAN MKT NEW YORK NY,NEW YORK      NY ,-7.01
04/01/2026,24055236090699259210635,NORTHSIDE PHARMACY BROOKLYN NY,BROOKLYN      NY ,-119.75
03/31/2026,24445006090600158272508,GROVE MARKET #12 NEW YORK NY,NEW YORK      NY ,-7.60
03/31/2026,24445006089300582910947,METRO STORAGE #410 800-567-0000 NY,800-567-0000  NY ,-8.69
03/31/2026,24011346090100028124611,MESHLINK DONATION MESHLINK.NET NY,MESHLINK.NET  NY ,-20.00
03/30/2026,24435656089169647176602,TST* KESTREL SUSHI BAR NEW YORK NY,NEW YORK      NY ,-97.97
03/30/2026,24055236088697182042822,SALTGRASS ESPRESSO BROOKLYN NY,BROOKLYN      NY ,-58.24
03/30/2026,24137466088501270838924,STREAM*VIDEOPRIME g.co/helppay# CA,g.co/helppay# CA ,-13.06
03/30/2026,24137466088001688110321,CEDAR RIDGE BURGERS BROOKLYN NY,BROOKLYN      NY ,-26.06
03/30/2026,24692166087100334121932,IRONWOOD BBQ BROOKLYN NY,BROOKLYN      NY ,-10.89
03/30/2026,24137466087501280741069,THE IRON FORK NEW YORK NY,NEW YORK      NY ,-199.25
03/28/2026,24692166086109089559742,MERIDIAN OUTFITTERS NEW YORK NY,NEW YORK      NY ,-3.00
03/27/2026,24692166086108889138384,JADE GARDEN NOODLE NEW YORK NY,NEW YORK      NY ,-3.00
03/27/2026,24692166085108679492703,THE GREEN AISLE BROOKLYN NY,BROOKLYN      NY ,-3.00
03/27/2026,24071056085939124673388,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,ANTHROPIC.COM CA ,-25.00
03/27/2026,24204296085001527120079,COASTAL CHARTERS EAST END NY,EAST END      NY ,-41.36
03/27/2026,24692166085108134938365,ROOFTOP PILSNER CO BROOKLYN NY,BROOKLYN      NY ,-3.00
03/27/2026,24692166085108129486388,TST* RED OAK TAVERN BROOKLYN NY,BROOKLYN      NY ,-3.00
03/27/2026,24692166085108012739117,EMBER GRAIN COFFEE BROOKLYN NY,BROOKLYN      NY ,-3.00
03/26/2026,24000776085100004205044,HOLLOW TREE ROASTERS BROOKLYN NY,BROOKLYN      NY ,-13.51
03/26/2026,24692166084107212407708,FERNWOOD TAQUERIA BROOKLYN NY,BROOKLYN      NY ,-3.00
03/25/2026,24801976084691698072284,STONEGATE RAMEN NEW YORK NY,NEW YORK      NY ,-13.91
03/25/2026,24000776083100034016496,ATLAS MEDICAL GROUP 855-880-0000 NY,855-880-0000 NY ,-18.23
03/24/2026,24435656082167975029853,SQ *RIVERVIEW CAFE New York NY,New York      NY ,-92.95
03/24/2026,24055236082690112093359,BOOKSHOP ONLINE BOOKSHOP.ORG NY,BOOKSHOP.ORG  NY ,-24.35
03/24/2026,24137466082501022867599,CLOUDONE* 855-836-0000 CA,855-836-0000  CA ,-126.30
03/23/2026,24011346081100147427482,CITYWIDE PER INS 800-842-0000 CT,800-842-0000  CT ,-21.78
03/23/2026,24692166081104893965024,TM *STAGEFRONT SHOW 800-653-8000 CA,800-653-8000  CA ,-13.99
03/23/2026,24231686081688570639766,THE LOFT STUDIO NEW YORK NY,NEW YORK      NY ,-28.49
03/23/2026,24765016080688240732640,PYN*SEEEDSTUDIO WWW.PAYONEER.,WWW.PAYONEER. ,-9.79
03/23/2026,24247606080200241407648,WWW.IRONCLAD-YOGA.COM WWW.IRONCLAD-YOGA.COM NY,WWW.IRONCLAD- NY ,-114.32
03/23/2026,24692166080103891049311,SWIFTCAR *TRIP HELP.SWIFTCAR.COM CA,HELP.SWIFTCAR CA ,-65.30
03/23/2026,24692166080103493774258,HIGHLAND BOWL KITCHEN BROOKLYN NY,BROOKLYN      NY ,-3.00
03/21/2026,24692166080103387730382,URBAN HEALTH CLINIC NEW YORK NY,NEW YORK      NY ,-3.00
03/21/2026,24275396079900018700952,HARBOR MUSIC HALL NEW YORK NY,NEW YORK      NY ,-20.70
03/21/2026,24692166079103060099736,METRO GAS ELECTRIC 800-555-0300 NY,800-555-0300  NY ,-18.50
03/21/2026,24692166079103054661376,FSI*CITYPOWER BILL 800-752-0000 NY,800-752-0000  NY ,-71.21
03/21/2026,24000776080100002948186,SEATSTREAM TICKETS SEATSTREAM.COM NY,SEATSTREAM.CO NY ,-12.15
03/21/2026,24055236079686786403259,AUDIOSTREAM* STREAMCAST.COM NY,STREAMCAST.CO NY ,-28.06
03/21/2026,74692166079102907556036,THE YELLOW FINCH NEW YORK NY,NEW YORK      NY ,346.22
03/20/2026,24692166078101613134282,BIRCH AND BARLEY NEW YORK NY,NEW YORK      NY ,-3.76
03/19/2026,24801976078684788095107,SEASIDE MARINA EAST END AI,EAST END      AI ,-13.91
03/18/2026,24692166076100229696058,HARBOR FREIGHT TOOLS BROOKLYN NY,BROOKLYN      NY ,-346.22
03/18/2026,24692166076109904224250,SQ *THE PAGE TURNER Brooklyn NY,Brooklyn      NY ,-62.48
03/18/2026,24692166076109904224227,STRONGHOLD GYM NEW YORK NY,NEW YORK      NY ,-100.02
03/18/2026,24011346076100081024524,CORNERSTONE KITCHEN BROOKLYN NY,BROOKLYN      NY ,-17.37
03/17/2026,24064666076100003015334,BLUE HERON KITCHEN BROOKLYN NY,BROOKLYN      NY ,-12.95
03/17/2026,24910166075026722545715,HARVEST TABLE FOODS BROOKLYN NY,BROOKLYN      NY ,-40.76
03/17/2026,24137466075500972062424,COPPERHEAD COFFEE BROOKLYN NY,BROOKLYN      NY ,-140.52
03/16/2026,24943016074010215540028,TST* GOLDEN SPOON Brooklyn NY,Brooklyn      NY ,-117.19
03/16/2026,24692166074107872095977,GREENPATH FUND GREENPATH.ORG MA,GREENPATH.ORG MA ,-5.99
03/16/2026,24692166073107692212456,SUMMIT GRILL NEW YORK NY,NEW YORK      NY ,-22.46
03/14/2026,24765016072679055728427,MTA*NYCT PAYGO NEW YORK NY,NEW YORK      NY ,-9.79
03/13/2026,24692166072105830918654,THE COPPER RAIL BROOKLYN NY,BROOKLYN      NY ,-13.66
03/13/2026,24036386072071619969517,ANCHOR AND VINE BROOKLYN NY,BROOKLYN      NY ,-25.00
03/13/2026,24036296072742200594572,FIELDSTONE GROCERY BROOKLYN NY,BROOKLYN      NY ,-49.07
03/13/2026,24091626071017042050187,SQ *PORCH LIGHT DINER New York NY,New York      NY ,-16.33
