Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
03/15/2026,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320260750064646326',Fees & Adjustments-Fees & Adjustments
03/14/2026,ONLINE PAYMENT - THANK YOU,-307.43,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320260730007573656',
02/21/2026,CLEARWAVE MOBILE           NEW YORK            NY,4.00,"RX_4U4MT8GC +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320260520416761816',Communications-Mobile Telecom
02/21/2026,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"RX_4U4BEJGC +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320260520421644021',Communications-Mobile Telecom
02/18/2026,Platinum Retailer+ Credit,-14.10,"BXM PLUS Feb 2026 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320260500351529822',Fees & Adjustments-Fees & Adjustments
02/18/2026,BXM PLUS Feb 2026 028009777647          AR,14.10,"X4YZ2D8CWJ 8009367389
BXM PLUS Feb 2026 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Feb 2026 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320260490325629771',Merchandise & Supplies-Internet Purchase
02/15/2026,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"62759373031 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320260460242773983',Communications-Cable & Internet Comm
02/15/2026,ONLINE PAYMENT - THANK YOU,-42.58,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320260460239490839',
02/15/2026,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320260470267756226',Fees & Adjustments-Fees & Adjustments
02/12/2026,TST* THE COBBLESTONE NEW YORK            NY,167.54,"21105176044 BAR/NIGHTCLUB
TST* THE COBBLESTONE 00204396
NEW YORK
NY
BAR/NIGHTCLUB",TST* THE COBBLESTONE NEW YORK            NY,185 WEST 10TH ST,"NEW YORK
NY",10014,UNITED STATES,'320260440194083952',Restaurant-Bar & Café
02/05/2026,RIDGEBACK OMAKASE        NEW YORK            NY,193.31,"71100001    917-555-0182
RIDGEBACK OMAKASE
NEW YORK
NY
Description : FOOD/BEVERAGE Price : 0.00
917-555-0182",RIDGEBACK OMAKASE        NEW YORK            NY,215 WEST HOUSTON ST,"NEW YORK
NY",10014,UNITED STATES,'320260370004530808',Restaurant-Restaurant
02/05/2026,Platinum Resy Credit,-100.00,"RIDGEBACK OMAKASE
Platinum Resy Credit",Platinum Resy Credit,,,,,'320260380016513431',Fees & Adjustments-Fees & Adjustments
01/29/2026,VIEWFLOW.COM         866-579-0000        CA,19.59,"68157593604 VIEWFLOW.COM
VIEWFLOW.COM
866-579-0000
CA
VIEWFLOW.COM",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320260290768700413',Communications-Cable & Internet Comm
01/22/2026,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"RX_4RRKWDGC +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320260220598632726',Communications-Mobile Telecom
01/19/2026,Platinum Retailer+ Credit,-14.10,"BXM PLUS JAN 2026
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320260200530299170',Fees & Adjustments-Fees & Adjustments
01/19/2026,BXM PLUS JAN 2026   WALMART.COM         AR,14.10,"X3V8KK1BLF 800-925-6278
BXM PLUS JAN 2026
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",BXM PLUS JAN 2026   WALMART.COM         AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320260190509840505',Merchandise & Supplies-Internet Purchase
01/15/2026,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"14995039786 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320260150394286828',Communications-Cable & Internet Comm
01/15/2026,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320260160420302536',Fees & Adjustments-Fees & Adjustments
01/10/2026,ONLINE PAYMENT - THANK YOU,-364.02,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320260100258357197',
12/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"57642515583 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320253630939027921',Communications-Cable & Internet Comm
12/28/2025,AMEX CLEAR PLUS CREDIT,-169.00,"CLEAR *CLEARME.COM
AMEX CLEAR PLUS CREDIT",AMEX CLEAR PLUS CREDIT,,,,,'320253630928659231',Fees & Adjustments-Fees & Adjustments
12/28/2025,CLEAR *CLEARME.COM  NEW YORK            NY,169.00,"CH_3SJFDYC8 +18552532763
CLEAR *CLEARME.COM
NEW YORK
NY
+18552532763",CLEAR *CLEARME.COM  NEW YORK            NY,"10TH FLOOR
85 TENTH AVENUE","NEW YORK
NY",10011,UNITED STATES,'320253620917151425',Business Services-Professional Services
12/23/2025,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"CH_3SHREFFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320253570788153828',Communications-Mobile Telecom
12/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Dec 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320253530650957249',Fees & Adjustments-Fees & Adjustments
12/18/2025,BXM PLUS Dec 2025 028009777647          AR,14.10,"WLPVTRC8UQ2 8009367389
BXM PLUS Dec 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Dec 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320253520618646775',Merchandise & Supplies-Internet Purchase
12/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"77726192554 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320253490527929666',Communications-Cable & Internet Comm
12/15/2025,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320253500551822395',Fees & Adjustments-Fees & Adjustments
12/11/2025,ONLINE PAYMENT - THANK YOU,-1749.14,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320253450402881656',
12/10/2025,SEACLIFF RESORT &THE VALLEY,69.35,"36408901300 LODGING
SEACLIFF RESORT & SPA
THE VALLEY
LODGING",SEACLIFF RESORT &THE VALLEY,SANDY COVE,THE VALLEY,,ANGUILLA,'320253450427769253',Travel-Lodging
12/09/2025,HARBORSIDE          SANDY COVE,162.09,"36408017713 RESTAURANT
HARBORSIDE
SANDY COVE
RESTAURANT",HARBORSIDE          SANDY COVE,SANDY COVE,SANDY COVE,,ANGUILLA,'320253440397948053',Restaurant-Restaurant
12/09/2025,Coastline Charters LTDWEST END,75.00,"36407846851 TRAVEL AGENCY
Coastline Charters LTD
WEST END
TRAVEL AGENCY",Coastline Charters LTDWEST END,WEST END,WEST END,,ANGUILLA,'320253440394839143',Travel-Travel Agencies
12/05/2025,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"CH_3SAYECFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320253390235479743',Communications-Mobile Telecom
11/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"56287447617 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320253330044429704',Communications-Cable & Internet Comm
11/23/2025,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"CH_3SWZMKFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320253270865352940',Communications-Mobile Telecom
11/21/2025,CLEARWAVE MOBILE           NEW YORK            NY,4.00,"CH_3SVUSXFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320253250803367000',Communications-Mobile Telecom
11/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Nov 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320253230733328328',Fees & Adjustments-Fees & Adjustments
11/18/2025,BXM PLUS Nov 2025 028009777647          AR,14.10,"WCJ2SSSG09A 8009367389
BXM PLUS Nov 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Nov 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320253220706484838',Merchandise & Supplies-Internet Purchase
11/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320253190624470476',Communications-Cable & Internet Comm
11/15/2025,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320253200648063881',Fees & Adjustments-Fees & Adjustments
11/15/2025,SEEN MEDICAL        BROOKLYN            NY,-278.00,"RE_3S3OJWAC +18159544829
SEEN MEDICAL
BROOKLYN
NY
+18159544829",SEEN MEDICAL        BROOKLYN            NY,"564 SAINT JOHNS PLACE
722","BROOKLYN
NY",11238,UNITED STATES,'320253200669023865',Business Services-Health Care Services
11/10/2025,ONLINE PAYMENT - THANK YOU,-152.93,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320253140476743360',
11/09/2025,AplPay LEVY@2BROOK CBROOKLYN            NY,23.84,"3126648200
AplPay LEVY@2BROOK CONC
BROOKLYN
NY
3126648200",AplPay LEVY@2BROOK CBROOKLYN            NY,620 ATLANTIC AVE,"BROOKLYN
NY",11217,UNITED STATES,'320253140487671204',Restaurant-Bar & Café
11/01/2025,AMEX Airline Fee Reimbursement,-29.00,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253050245764000',Travel-Airline
11/01/2025,AMEX Airline Fee Reimbursement,-29.00,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253050245764001',Travel-Airline
11/01/2025,AMEX Airline Fee Reimbursement,-29.00,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253050245764002',Travel-Airline
11/01/2025,AMEX Airline Fee Reimbursement,-29.00,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253050245764003',Travel-Airline
11/01/2025,SEASIDE BEACH CLUB  ANGUILLA,950.00,"LODGING
SEASIDE BEACH CLUB
ANGUILLA
LODGING",SEASIDE BEACH CLUB  ANGUILLA,PO BOX 1042 THE VALLEY,N/A,000000,ANGUILLA,'320253080318218262',Travel-Lodging
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,29.00,"IIGZCE      8005382583
ADDITIONAL COLLECTION
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : RIVERA/ALEX MR
Ticket Number : 38055888200507
Departure Day : 10/30
Additional Info : ADDITIONAL COLLECTION",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200401506',Travel-Airline
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,29.00,"IIGZCE      8005382583
ADDITIONAL COLLECTION
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : RIVERA/ALEX MR
Ticket Number : 38055888200496
Departure Day : 10/30
Additional Info : ADDITIONAL COLLECTION",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200867110',Travel-Airline
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,29.00,"IIGZCE      8005382583
ADDITIONAL COLLECTION
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : SULLIVAN/CLAIRE MS
Ticket Number : 38055888200522
Departure Day : 10/30
Additional Info : ADDITIONAL COLLECTION",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200867631',Travel-Airline
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,29.00,"IIGZCE      8005382583
ADDITIONAL COLLECTION
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : SULLIVAN/CLAIRE MS
Ticket Number : 38055888200511
Departure Day : 10/30
Additional Info : ADDITIONAL COLLECTION",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200890990',Travel-Airline
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,503.36,"IIGZCE      8005382583
PASSENGER TICKET
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : SULLIVAN/CLAIRE MS
Ticket Number : 38032065788931
Departure Day : 12/05
Additional Info : PASSENGER TICKET
From : N.Y. J F KENNEDY I
To : ST MAARTEN
Class : Z
From : ST MAARTEN
To : N.Y. J F KENNEDY I
Class : Z",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200859075',Travel-Airline
10/30/2025,JETBLUE AIRWAYS 9010JETBLUE             NY,503.36,"IIGZCE      8005382583
PASSENGER TICKET
JETBLUE AIRWAYS 9010001
JETBLUE
NY
Carrier : JETBLUE AIRWAYS
Passenger Name : RIVERA/ALEX MR
Ticket Number : 38032065788927
Departure Day : 12/05
Additional Info : PASSENGER TICKET
From : N.Y. J F KENNEDY I
To : ST MAARTEN
Class : Z
From : ST MAARTEN
To : N.Y. J F KENNEDY I
Class : Z",JETBLUE AIRWAYS 9010JETBLUE             NY,6322 SOUTH 3000 EAST STE G10,"SALT LAKE CITY
UT",84121,UNITED STATES,'320253040200883353',Travel-Airline
10/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"54877067204 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320253020144913818',Communications-Cable & Internet Comm
10/25/2025,AXS.COM*BOWERY NY   LOS ANGELES         CA,78.44,"29575270    8889297849
AXS.COM*BOWERY NY
LOS ANGELES
CA
8889297849",AXS.COM*BOWERY NY   LOS ANGELES         CA,"SUITE 5
156 LUDLOW","NEW YORK
NY",10002,UNITED STATES,'320252980034033914',Entertainment-Theatrical Events
10/24/2025,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"CH_3SLG9DFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252970007106511',Communications-Mobile Telecom
10/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Oct 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320252920855309210',Fees & Adjustments-Fees & Adjustments
10/18/2025,BXM PLUS Oct 2025 028009777647          AR,14.10,"WTUIT82E8WJ 8009367389
BXM PLUS Oct 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Oct 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320252910829846862',Merchandise & Supplies-Internet Purchase
10/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,29.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320252880741116916',Communications-Cable & Internet Comm
10/15/2025,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320252890766595661',Fees & Adjustments-Fees & Adjustments
10/10/2025,ONLINE PAYMENT - THANK YOU,-5779.58,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320252830595795339',
10/01/2025,AMEXTRAVEL.COM      800-297-2977        WA,-250.42,"BUFFALO AIR TRAVEL
LODGING
AMEXTRAVEL.COM
800-297-2977
WA",AMEXTRAVEL.COM      800-297-2977        WA,"500 WEST MADISON ST
STE 1000","CHICAGO
IL",60661,UNITED STATES,'320252750391868885',Travel-Travel Agencies
09/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"53518630602 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320252720291584038',Communications-Cable & Internet Comm
09/27/2025,CLEARWAVE MOBILE           NEW YORK            NY,-19.91,"RE_3SBYWTFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252710275750983',Communications-Mobile Telecom
09/26/2025,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"CH_3SBNVYFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252700249729787',Communications-Mobile Telecom
09/26/2025,CLEARWAVE MOBILE           NEW YORK            NY,19.91,"CH_3SBYWTFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252690205929203',Communications-Mobile Telecom
09/18/2025,AMEXTRAVEL.COM      800-297-2977        WA,250.42,"BUFFALO AIR TRAVEL
LODGING
AMEXTRAVEL.COM
800-297-2977
WA",AMEXTRAVEL.COM      800-297-2977        WA,"500 WEST MADISON ST
STE 1000","CHICAGO
IL",60661,UNITED STATES,'320252610973850865',Travel-Travel Agencies
09/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Sep 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320252640054875355',Fees & Adjustments-Fees & Adjustments
09/18/2025,BXM PLUS Sep 2025 028009777647          AR,14.10,"WK5IVFM41PL 8009367389
BXM PLUS Sep 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Sep 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320252610972292008',Merchandise & Supplies-Internet Purchase
09/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,29.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320252580892245946',Communications-Cable & Internet Comm
09/15/2025,Platinum Digital Entertainment Credit,-20.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320252590915115988',Fees & Adjustments-Fees & Adjustments
09/10/2025,ONLINE PAYMENT - THANK YOU,-843.49,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320252530749936414',
09/04/2025,SEEN MEDICAL        BROOKLYN            NY,5750.00,"CH_3S3OJWAC +18159544829
SEEN MEDICAL
BROOKLYN
NY
+18159544829",SEEN MEDICAL        BROOKLYN            NY,"564 SAINT JOHNS PLACE
722","BROOKLYN
NY",11238,UNITED STATES,'320252480627669630',Business Services-Health Care Services
08/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"52115874361 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320252410428356224',Communications-Cable & Internet Comm
08/27/2025,CLEARWAVE MOBILE           NEW YORK            NY,19.91,"CH_3S0GFSFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252390365851941',Communications-Mobile Telecom
08/26/2025,RENEWAL MEMBERSHIP FEE,695.00,RENEWAL MEMBERSHIP FEE,RENEWAL MEMBERSHIP FEE,,,,,'320252383331655188',Fees & Adjustments-Fees & Adjustments
08/23/2025,NYC FERRY           844-469-3377        NY,9.00,"20004E2A-F8 FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252360291116165',Entertainment-General Attractions
08/22/2025,NYC FERRY           844-469-3377        NY,24.00,"NYCFSPB5361 FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252350269991051',Entertainment-General Attractions
08/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Aug 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320252320137179166',Fees & Adjustments-Fees & Adjustments
