Posted Date,Reference Number,Payee,Address,Amount
01/29/2026,24204296029001107676226,COPPER BLOSSOM CAFE NEW YORK NY,NEW YORK      NY ,-23.90
01/29/2026,24492166029100013200075,VOLUME BOOK SHOP NEW YORK NY,NEW YORK      NY ,-14.70
01/28/2026,24801976028629225066899,STRONGHOLD GYM NEW YORK NY,NEW YORK      NY ,-8.76
01/28/2026,24412906027030020122632,MERIDIAN OUTFITTERS NEW YORK NY,NEW YORK      NY ,-31.14
01/27/2026,24943016026010204502970,TST* NIGHTHAWK PIZZA NEW YORK NY,NEW YORK      NY ,-32.58
01/26/2026,24231686025626523584928,SALTGRASS NOODLE HOUSE NEW YORK NY,NEW YORK      NY ,-27.20
01/26/2026,24692166025102655723101,HARBOR FERRY 844-555-0200 NY,844-555-0200  NY ,-12.50
01/26/2026,24801976024626119692040,TST* LANTERN AND VINE New York NY,New York      NY ,-55.52
01/26/2026,24445006024100198544124,DRIFTWOOD KITCHEN NEW YORK NY,NEW YORK      NY ,-14.14
01/26/2026,24445006024100198544041,ISLAND VIEW RESORT EAST END AI,EAST END      AI ,-11.92
01/24/2026,24011346024100042468649,BOOKSHOP ONLINE BOOKSHOP.ORG NY,BOOKSHOP.ORG  NY ,-19.05
01/24/2026,24765016023625109657211,HARBOR MUSIC HALL NEW YORK NY,NEW YORK      NY ,-22.85
01/24/2026,24943016023010190099596,CLOUDSPAN HOSTING cloudspan.com CA,cloudspan.com CA ,-25.89
01/24/2026,24943016023010205574880,SP CLEARPATH GOODS clearpath.com NY,clearpath.com NY ,-9.02
01/23/2026,24692166022100273356505,MTA*NYCT PAYGO NEW YORK NY,NEW YORK      NY ,-3.00
01/21/2026,24767256021000000930335,MILLSTONE PIZZA BROOKLYN NY,BROOKLYN      NY ,-510.61
01/21/2026,24492166021100006980251,METROPOLITAN MKT NEW YORK NY,NEW YORK      NY ,-116.40
01/21/2026,24137466020500914809672,E-Z*TOLL REBILL 800-333-0000 NY,800-333-0000  NY ,-104.80
01/19/2026,24231686019619927476823,HIGHLAND BOWL KITCHEN BROOKLYN NY,BROOKLYN      NY ,-157.83
01/19/2026,74943016018010197356322,THE GREEN AISLE BROOKLYN NY,BROOKLYN      NY ,16.30
01/19/2026,24943016018010197356343,FSP*COBBLESTONE ALE HOUSE NEW YORK NY,NEW YORK   NY ,-29.18
01/19/2026,24011346018100070470119,MEDICROSS LABS 800-845-0000 NC,800-845-0000  NC ,-36.53
01/19/2026,24435656018151306211371,GROVE MARKET #12 NEW YORK NY,NEW YORK      NY ,-60.95
01/19/2026,74435656018151306047929,PYN*SEEEDSTUDIO WWW.PAYONEER.,WWW.PAYONEER. ,39.17
01/17/2026,24692166016105458097459,MESA VERDE KITCHEN NEW YORK NY,NEW YORK      NY ,-20.69
01/17/2026,24692166016104982379186,EASTSIDE VISION CARE BROOKLYN NY,BROOKLYN      NY ,-367.53
01/17/2026,24692166016104982379095,JADE GARDEN NOODLE NEW YORK NY,NEW YORK      NY ,-88.68
01/17/2026,24692166016104845981657,ROOFTOP PILSNER CO BROOKLYN NY,BROOKLYN      NY ,-18.50
01/15/2026,24000776015100013871401,NORTHGATE MARKET BROOKLYN NY,BROOKLYN      NY ,-109.90
01/15/2026,24692166014103012506430,SEATSTREAM TICKETS SEATSTREAM.COM NY,SEATSTREAM.CO NY ,-30.00
01/14/2026,01320401060047365757052,ONLINE/MOBILE PAYMENT CONF#5gmovhqum,,8071.53
01/14/2026,24943016013010181298993,SWIFTCAR *TRIP HELP.SWIFTCAR.COM CA,HELP.SWIFTCAR CA ,-59.96
01/14/2026,74943016013010198729357,TM *CONCERTPASS 800-653-8000 CA,800-653-8000  CA ,108.82
01/14/2026,24943016013010198731564,CLEARPATH MARKET BROOKLYN NY,BROOKLYN      NY ,-163.69
01/13/2026,24431066013360181685739,KIVA MICROLOAN 828-479-5482 CA,828-479-5482  CA ,-14.14
