Date,Description,Amount,Balance,Post Date
05/19/2025,EB *EVENT PREMIER        SEAMLESS.COM NY,$23.20,$0.00,05/21/2025
05/20/2025,CURB SVC - CAR APP       NEW YORK     NY,$14.14,$0.00,05/20/2025
05/20/2025,TM *STAGEFRONT           BOOKSHOP.ORG NY,$31.74,$0.00,05/21/2025
05/22/2025,MEADOWBROOK GROCERS      New York     NY,$13.99,$0.00,05/23/2025
05/23/2025,WORKSPACE*PRO            g.co/helppay#CA,$8.68,$0.00,05/25/2025
05/23/2025,HIGHLAND RESORT          866-263-8325 MA,$1000.00,$0.00,05/25/2025
05/24/2025,RIDGEBACK RAMEN          801-413-7200 CA,$64.60,$0.00,05/25/2025
05/24/2025,THE GREEN AISLE          800-653-8000 CA,$17.42,$0.00,05/25/2025
05/24/2025,CITY PHARMACY            GOFORWARD.ORG M,$8.33,$0.00,05/26/2025
05/25/2025,SQ *FIELDSTONE BISTRO    nabucasa.com CA,$19.00,$0.00,05/25/2025
05/25/2025,ARTISAN MARKET           Internet     CA,$24.47,$0.00,05/26/2025
05/25/2025,WATERSHED COFFEE         SEAMLESS.COM NY,$34.31,$0.00,05/27/2025
05/25/2025,INNOTECH DEVICES         Springfield  VA,$10.00,$0.00,05/27/2025
05/26/2025,HARBOR PORTER PUB        PADDLE.COM   NY,$132.48,$0.00,05/27/2025
05/26/2025,TRADEPOST *PURCHASE      BROOKLYN     NY,$31.70,$0.00,05/28/2025
05/27/2025,THE IRON ANCHOR          SEAMLESS.COM NY,$27.34,$0.00,05/28/2025
05/27/2025,HARVEST TABLE FOODS      NEW YORK     NY,$16.31,$0.00,05/29/2025
05/28/2025,CEDAR RIDGE BURGERS      BOOKSHOP.ORG NY,$13.05,$0.00,05/29/2025
05/29/2025,FOXHOLE BREWING CO       New York     NY,$25.00,$0.00,05/29/2025
05/30/2025,THE WAYPOINT GRILL       g.co/helppay#CA,$53.34,$0.00,05/31/2025
05/30/2025,SP CLEARPATH GOODS       866-263-8325 MA,$59.79,$0.00,05/31/2025
05/30/2025,METRO SUPPLY HOUSE       801-413-7200 CA,$34.84,$0.00,06/02/2025
05/30/2025,THE MOVEMENT ROOM        800-653-8000 CA,$20.00,$0.00,06/02/2025
05/31/2025,CORNERSTONE HARDWARE     GOFORWARD.ORG M,$42.40,$0.00,06/02/2025
05/31/2025,WF *HOMEGOODS4356        nabucasa.com CA,$16.80,$0.00,06/02/2025
05/31/2025,NORTHNODE HOSTING        Internet     CA,$12.95,$0.00,06/02/2025
06/01/2025,SQ *PORCH LIGHT          SEAMLESS.COM NY,$24.49,$0.00,06/02/2025
06/01/2025,FERN HILL BAKERY         Springfield  VA,$37.62,$0.00,06/02/2025
06/01/2025,EASTSIDE VISION          PADDLE.COM   NY,$396.28,$0.00,06/03/2025
06/01/2025,BOOKSHOP ONLINE          BROOKLYN     NY,$15.46,$0.00,06/03/2025
06/01/2025,DRIFT BEER GARDEN        SEAMLESS.COM NY,$18.58,$0.00,06/03/2025
06/02/2025,NEWSFEED*DIGITAL         NEW YORK     NY,$21.07,$0.00,06/03/2025
06/02/2025,CLEARWATER YOGA          BOOKSHOP.ORG NY,$3.31,$0.00,06/03/2025
06/02/2025,CLEARVIEW DENTAL         New York     NY,$615.00,$0.00,06/03/2025
06/03/2025,NORTHPLEX THEATER        g.co/helppay#CA,$225.00,$0.00,06/04/2025
06/03/2025,CLAUDE.AI SUBSCRIPT      866-263-8325 MA,$12.79,$0.00,06/05/2025
06/04/2025,CIVICWORKS FUND          801-413-7200 CA,$100.00,$0.00,06/04/2025
06/04/2025,CLEARPATH SERVICES       800-653-8000 CA,$81.00,$0.00,06/06/2025
06/05/2025,AUTOMATIC PAYMENT - THANK YOU,($3067.28),$0.00,06/05/2025
06/06/2025,ATLAS FRESH MARKET       GOFORWARD.ORG M,$40.56,$0.00,06/06/2025
06/06/2025,RIDGELINE SUPPLY         nabucasa.com CA,$50.27,$0.00,06/08/2025
06/06/2025,VOLUME BOOK SHOP         Internet     CA,$68.06,$0.00,06/08/2025
06/06/2025,SQ *STORMCROW TAPAS      SEAMLESS.COM NY,$13.06,$0.00,06/08/2025
06/07/2025,MERIDIAN OUTFITTERS      Springfield  VA,$12.95,$0.00,06/08/2025
06/07/2025,CITY FRESH GROCERY       PADDLE.COM   NY,$20.00,$0.00,06/08/2025
06/07/2025,URBAN HEALTH CLINIC      BROOKLYN     NY,$58.08,$0.00,06/08/2025
06/07/2025,MERIDIAN YOGA            SEAMLESS.COM NY,$32.77,$0.00,06/09/2025
06/08/2025,WWW.IRONCLAD-YOGA.COM    NEW YORK     NY,$85.07,$0.00,06/09/2025
06/08/2025,FSI*CITYPOWER BILL       BOOKSHOP.ORG NY,$100.00,$0.00,06/09/2025
06/09/2025,CLOUDONE* STORAGE        New York     NY,$14.14,$0.00,06/10/2025
06/11/2025,COASTAL CHARTERS         g.co/helppay#CA,$99.30,$0.00,06/12/2025
06/11/2025,MTA*NYCT PAYGO           866-263-8325 MA,$56.56,$0.00,06/12/2025
06/13/2025,COPPER BLOSSOM CAFE      801-413-7200 CA,$14.16,$0.00,06/15/2025
06/13/2025,GB* COMMUNITY FUND       800-653-8000 CA,$17.15,$0.00,06/15/2025
06/14/2025,FERNWOOD TAQUERIA        GOFORWARD.ORG M,$106.17,$0.00,06/15/2025
06/14/2025,ISLAND VIEW RESORT       nabucasa.com CA,$12.95,$0.00,06/15/2025
06/14/2025,CITYLOCK STORAGE         Internet     CA,$25.38,$0.00,06/16/2025
06/14/2025,RIDGELINE CAFE           SEAMLESS.COM NY,$65.30,$0.00,06/16/2025
06/15/2025,TST* KESTREL SUSHI       Springfield  VA,$50.11,$0.00,06/16/2025
06/16/2025,PULSE FITNESS            PADDLE.COM   NY,$14.14,$0.00,06/17/2025
06/16/2025,COBBLESTONE CANTINA      BROOKLYN     NY,$108.00,$0.00,06/17/2025
06/16/2025,RIVERVIEW FOODS          SEAMLESS.COM NY,$1009.00,$0.00,06/17/2025
06/17/2025,JADE GARDEN NOODLE       NEW YORK     NY,$47.77,$0.00,06/18/2025
06/18/2025,ANCHOR AND VINE          BOOKSHOP.ORG NY,$57.50,$0.00,06/19/2025
06/19/2025,GoFundMe Help Fund       New York     NY,$33.53,$0.00,06/20/2025
06/19/2025,TM *CONCERTPASS          g.co/helppay#CA,$37.00,$0.00,06/20/2025
06/20/2025,WILDFLOWER RAMEN         866-263-8325 MA,$46.81,$0.00,06/20/2025
06/20/2025,FOXFIRE NOODLES          801-413-7200 CA,$11.00,$0.00,06/22/2025
06/20/2025,METRO STORAGE #410       800-653-8000 CA,$17.49,$0.00,06/22/2025
06/21/2025,CLOUDSPAN HOSTING        GOFORWARD.ORG M,$11.00,$0.00,06/22/2025
06/21/2025,MSKCC GIVING             nabucasa.com CA,$36.84,$0.00,06/22/2025
06/21/2025,HARBOR LIGHT SUSHI       Internet     CA,$24.00,$0.00,06/22/2025
06/22/2025,IRONWOOD BBQ             SEAMLESS.COM NY,$13.99,$0.00,06/23/2025
06/22/2025,MUSICPASS* PREMIUM       Springfield  VA,$9.00,$0.00,06/23/2025
06/22/2025,TST* TERRACOTTA          PADDLE.COM   NY,$4.14,$0.00,06/24/2025
06/22/2025,TIMBERWOLF HARDWARE      BROOKLYN     NY,$83.56,$0.00,06/24/2025
06/23/2025,SUMMIT GRILL             SEAMLESS.COM NY,$130.60,$0.00,06/23/2025
06/23/2025,CINEMALOG                NEW YORK     NY,$71.25,$0.00,06/23/2025
06/23/2025,BIRCH AND BARLEY         BOOKSHOP.ORG NY,$14.14,$0.00,06/24/2025
06/23/2025,MILLSTONE PIZZA          New York     NY,$91.03,$0.00,06/25/2025
06/25/2025,SWIFTCAR *TRIP           g.co/helppay#CA,$43.55,$0.00,06/26/2025
06/26/2025,SUMMIT HOTEL             866-263-8325 MA,$38.70,$0.00,06/27/2025
06/27/2025,SEATSTREAM TICKETS       801-413-7200 CA,$21.76,$0.00,06/29/2025
06/27/2025,TST* GOLDEN SPOON        800-653-8000 CA,$13.06,$0.00,06/29/2025
06/28/2025,MESHLINK DONATION        GOFORWARD.ORG M,$16.53,$0.00,06/29/2025
06/28/2025,NORTHSIDE APPAREL        nabucasa.com CA,$12.95,$0.00,06/29/2025
06/28/2025,HIGHLAND CLOTHING        Internet     CA,$62.11,$0.00,06/30/2025
06/29/2025,NORTHSIDE PHARMACY       SEAMLESS.COM NY,$30.80,$0.00,06/29/2025
06/29/2025,HARBOR FERRY SVC         Springfield  VA,$93.89,$0.00,06/29/2025
06/30/2025,ACTBLUE CITYFUND         PADDLE.COM   NY,$8.47,$0.00,07/01/2025
06/30/2025,E-Z*TOLL REBILL          BROOKLYN     NY,$14.14,$0.00,07/01/2025
06/30/2025,RIDGELINE RECORDS        SEAMLESS.COM NY,$16.80,$0.00,07/01/2025
06/30/2025,AUDIOSTREAM*             NEW YORK     NY,$20.00,$0.00,07/01/2025
06/30/2025,TST* THE STILL POINT     BOOKSHOP.ORG NY,$50.18,$0.00,07/01/2025
06/30/2025,HARBOR MUSIC HALL        New York     NY,$50.18,$0.00,07/01/2025
07/01/2025,Patreon* Membership      g.co/helppay#CA,$37.62,$0.00,07/02/2025
07/01/2025,NIGHTHAWK PIZZA          866-263-8325 MA,$396.28,$0.00,07/03/2025
07/02/2025,METRO GAS ELECTRIC       801-413-7200 CA,$66.55,$0.00,07/03/2025
07/03/2025,APEX HARDWARE            800-653-8000 CA,$225.00,$0.00,07/04/2025
07/04/2025,AUTOMATIC PAYMENT - THANK YOU,($4390.29),$0.00,07/04/2025
07/05/2025,SP NORTHCRAFT SHOP       GOFORWARD.ORG M,$25.37,$0.00,07/07/2025
07/06/2025,OMNYTRANSIT*             nabucasa.com CA,$13.41,$0.00,07/08/2025
07/07/2025,THE MORNING PRESS        Internet     CA,$25.00,$0.00,07/08/2025
07/09/2025,THE COPPER RAIL          SEAMLESS.COM NY,$51.15,$0.00,07/10/2025
07/09/2025,Altitude Fitness         Springfield  VA,$25.00,$0.00,07/10/2025
07/10/2025,RIDGELINE BOOKS          PADDLE.COM   NY,$77.85,$0.00,07/13/2025
07/12/2025,PEAK FLOW YOGA           BROOKLYN     NY,$32.50,$0.00,07/14/2025
07/13/2025,MESA VERDE KITCHEN       SEAMLESS.COM NY,$1546.00,$0.00,07/14/2025
07/13/2025,CORNERSTONE MARKET       NEW YORK     NY,$27.14,$0.00,07/14/2025
07/13/2025,HOME ASSISTANT CLOUD     BOOKSHOP.ORG NY,$118.45,$0.00,07/14/2025
07/13/2025,CONSUMERREPORTS.ORG      New York     NY,$25.00,$0.00,07/14/2025
07/14/2025,WHYHUNGER ORG            g.co/helppay#CA,$14.14,$0.00,07/15/2025
07/14/2025,TST* RED OAK TAVERN      866-263-8325 MA,$63.35,$0.00,07/15/2025
07/15/2025,THE AMBER ROOM           801-413-7200 CA,$33.51,$0.00,07/17/2025
07/16/2025,STONE HOLLOW COFFEE      800-653-8000 CA,$26.13,$0.00,07/16/2025
07/16/2025,ROOFTOP PILSNER CO       GOFORWARD.ORG M,$13.27,$0.00,07/18/2025
07/17/2025,SHOPSTREAM *ORDER        nabucasa.com CA,$70.23,$0.00,07/20/2025
07/18/2025,THE YELLOW FINCH         Internet     CA,$100.00,$0.00,07/18/2025
07/18/2025,BAZAAR *ONLINE ORDER     SEAMLESS.COM NY,$15.49,$0.00,07/20/2025
07/19/2025,KIVA MICROLOAN           Springfield  VA,$12.95,$0.00,07/20/2025
07/19/2025,EMBER GRAIN COFFEE       PADDLE.COM   NY,$15.68,$0.00,07/20/2025
07/19/2025,SQ *THE PAGE TURNER      BROOKLYN     NY,$184.81,$0.00,07/20/2025
07/19/2025,THE THREAD HOUSE         SEAMLESS.COM NY,$95.31,$0.00,07/20/2025
07/19/2025,CITYWIDE PER INS         NEW YORK     NY,$38.86,$0.00,07/20/2025
07/19/2025,GREENPATH FUND           BOOKSHOP.ORG NY,$61.21,$0.00,07/21/2025
07/21/2025,STRONGHOLD GYM           New York     NY,$14.14,$0.00,07/22/2025
07/21/2025,HOLLOW TREE ROASTERS     g.co/helppay#CA,$3.00,$0.00,07/22/2025
07/21/2025,RIDEPATH *TRIP           866-263-8325 MA,$35.16,$0.00,07/22/2025
07/21/2025,DRIFTWOOD KITCHEN        801-413-7200 CA,$20.62,$0.00,07/23/2025
07/21/2025,GROVE MARKET             800-653-8000 CA,$54.00,$0.00,07/23/2025
07/22/2025,THE VIOLET FORK          GOFORWARD.ORG M,$16.31,$0.00,07/23/2025
07/22/2025,CENTRAL PARKING WEB      nabucasa.com CA,$13.99,$0.00,07/23/2025
07/22/2025,GOFORWARD CAMPAIGN       Internet     CA,$20.00,$0.00,07/24/2025
07/23/2025,COBBLESTONE ALE HSE      SEAMLESS.COM NY,$58.14,$0.00,07/24/2025
07/23/2025,FIELDSTONE GROCERY       Springfield  VA,$50.46,$0.00,07/25/2025
07/25/2025,SPECTACLE EVENT CO       PADDLE.COM   NY,$46.45,$0.00,07/27/2025
07/26/2025,SUNDOG THAI KITCHEN      BROOKLYN     NY,$12.95,$0.00,07/27/2025
07/26/2025,COPPER PLATE BISTRO      SEAMLESS.COM NY,$65.49,$0.00,07/28/2025
07/27/2025,MEDICROSS LABS           NEW YORK     NY,$25.40,$0.00,07/29/2025
07/27/2025,WATERSHED TAPROOM        BOOKSHOP.ORG NY,$118.56,$0.00,07/29/2025
07/28/2025,FSP*THE LONG POUR        New York     NY,$9.98,$0.00,07/28/2025
07/28/2025,THE LOFT STUDIO          g.co/helppay#CA,$14.14,$0.00,07/29/2025
07/28/2025,COPPERHEAD COFFEE        866-263-8325 MA,$52.18,$0.00,07/30/2025
07/29/2025,DAWN BREAK ROASTERS      801-413-7200 CA,$20.00,$0.00,07/30/2025
07/29/2025,STREAM*VIDEOPRIME        800-653-8000 CA,$13.07,$0.00,07/30/2025
07/30/2025,CLEARPATH MARKET         GOFORWARD.ORG M,$20.00,$0.00,07/31/2025
07/31/2025,SALTGRASS ESPRESSO       nabucasa.com CA,$100.00,$0.00,08/01/2025
07/31/2025,PAYPAL *MARKETPLACE      Internet     CA,$16.80,$0.00,08/01/2025
07/31/2025,EB *EVENT PREMIER        SEAMLESS.COM NY,$13.27,$0.00,08/03/2025
08/01/2025,CURB SVC - CAR APP       Springfield  VA,$396.28,$0.00,08/03/2025
08/01/2025,TM *STAGEFRONT           PADDLE.COM   NY,$99.30,$0.00,08/03/2025
08/01/2025,MEADOWBROOK GROCERS      BROOKLYN     NY,$37.62,$0.00,08/03/2025
08/02/2025,WORKSPACE*PRO            SEAMLESS.COM NY,$100.00,$0.00,08/03/2025
08/02/2025,HIGHLAND RESORT          NEW YORK     NY,$18.64,$0.00,08/04/2025
08/02/2025,RIDGEBACK RAMEN          BOOKSHOP.ORG NY,$28.86,$0.00,08/04/2025
08/03/2025,THE GREEN AISLE          New York     NY,$225.00,$0.00,08/03/2025
08/03/2025,CITY PHARMACY            g.co/helppay#CA,$27.62,$0.00,08/04/2025
08/03/2025,SQ *FIELDSTONE BISTRO    866-263-8325 MA,$69.81,$0.00,08/05/2025
08/03/2025,ARTISAN MARKET           801-413-7200 CA,$20.00,$0.00,08/05/2025
08/04/2025,WATERSHED COFFEE         800-653-8000 CA,$14.14,$0.00,08/05/2025
08/04/2025,INNOTECH DEVICES         GOFORWARD.ORG M,$378.26,$0.00,08/05/2025
08/04/2025,HARBOR PORTER PUB        nabucasa.com CA,$38.11,$0.00,08/05/2025
08/05/2025,AUTOMATIC PAYMENT - THANK YOU,($5348.45),$0.00,08/05/2025
08/05/2025,TRADEPOST *PURCHASE      Internet     CA,$56.66,$0.00,08/07/2025
08/07/2025,THE IRON ANCHOR          SEAMLESS.COM NY,$12.40,$0.00,08/10/2025
08/09/2025,HARVEST TABLE FOODS      Springfield  VA,$37.00,$0.00,08/10/2025
08/09/2025,CEDAR RIDGE BURGERS      PADDLE.COM   NY,$250.00,$0.00,08/10/2025
08/09/2025,FOXHOLE BREWING CO       BROOKLYN     NY,$54.36,$0.00,08/10/2025
08/09/2025,THE WAYPOINT GRILL       SEAMLESS.COM NY,$51.48,$0.00,08/11/2025
08/10/2025,SP CLEARPATH GOODS       NEW YORK     NY,$11.00,$0.00,08/11/2025
08/11/2025,METRO SUPPLY HOUSE       BOOKSHOP.ORG NY,$14.14,$0.00,08/12/2025
08/11/2025,THE MOVEMENT ROOM        New York     NY,$25.00,$0.00,08/12/2025
08/11/2025,CORNERSTONE HARDWARE     g.co/helppay#CA,$32.65,$0.00,08/12/2025
08/11/2025,WF *HOMEGOODS4356        866-263-8325 MA,$53.16,$0.00,08/13/2025
08/13/2025,NORTHNODE HOSTING        801-413-7200 CA,$20.00,$0.00,08/15/2025
08/14/2025,SQ *PORCH LIGHT          800-653-8000 CA,$17.15,$0.00,08/15/2025
08/14/2025,FERN HILL BAKERY         GOFORWARD.ORG M,$129.43,$0.00,08/15/2025
08/15/2025,EASTSIDE VISION          nabucasa.com CA,$14.70,$0.00,08/15/2025
08/15/2025,BOOKSHOP ONLINE          Internet     CA,$40.00,$0.00,08/17/2025
08/16/2025,DRIFT BEER GARDEN        SEAMLESS.COM NY,$12.95,$0.00,08/17/2025
08/16/2025,NEWSFEED*DIGITAL         Springfield  VA,$38.40,$0.00,08/17/2025
08/16/2025,CLEARWATER YOGA          PADDLE.COM   NY,$51.23,$0.00,08/18/2025
08/17/2025,CLEARVIEW DENTAL         BROOKLYN     NY,$47.27,$0.00,08/19/2025
08/18/2025,NORTHPLEX THEATER        SEAMLESS.COM NY,$51.55,$0.00,08/19/2025
08/18/2025,CLAUDE.AI SUBSCRIPT      NEW YORK     NY,$14.14,$0.00,08/19/2025
08/19/2025,CIVICWORKS FUND          BOOKSHOP.ORG NY,$205.92,$0.00,08/19/2025
08/19/2025,CLEARPATH SERVICES       New York     NY,$75.00,$0.00,08/20/2025
08/19/2025,ATLAS FRESH MARKET       g.co/helppay#CA,$29.34,$0.00,08/21/2025
08/19/2025,RIDGELINE SUPPLY         866-263-8325 MA,$15.00,$0.00,08/21/2025
08/21/2025,VOLUME BOOK SHOP         801-413-7200 CA,$30.13,$0.00,08/22/2025
08/21/2025,SQ *STORMCROW TAPAS      800-653-8000 CA,$36.14,$0.00,08/24/2025
08/22/2025,MERIDIAN OUTFITTERS      GOFORWARD.ORG M,$6.51,$0.00,08/24/2025
08/22/2025,CITY FRESH GROCERY       nabucasa.com CA,$27.68,$0.00,08/24/2025
08/22/2025,URBAN HEALTH CLINIC      Internet     CA,$13.99,$0.00,08/24/2025
08/23/2025,MERIDIAN YOGA            SEAMLESS.COM NY,$11.00,$0.00,08/24/2025
08/23/2025,WWW.IRONCLAD-YOGA.COM    Springfield  VA,$62.88,$0.00,08/25/2025
08/24/2025,FSI*CITYPOWER BILL       PADDLE.COM   NY,$19.99,$0.00,08/27/2025
08/25/2025,CLOUDONE* STORAGE        BROOKLYN     NY,$14.14,$0.00,08/26/2025
08/25/2025,COASTAL CHARTERS         SEAMLESS.COM NY,$40.50,$0.00,08/26/2025
08/25/2025,MTA*NYCT PAYGO           NEW YORK     NY,$130.00,$0.00,08/26/2025
08/26/2025,COPPER BLOSSOM CAFE      BOOKSHOP.ORG NY,$12.95,$0.00,08/27/2025
08/27/2025,GB* COMMUNITY FUND       New York     NY,$30.70,$0.00,08/28/2025
08/27/2025,FERNWOOD TAQUERIA        g.co/helppay#CA,$12.40,$0.00,08/29/2025
08/28/2025,ISLAND VIEW RESORT       866-263-8325 MA,$27.43,$0.00,08/29/2025
08/28/2025,CITYLOCK STORAGE         801-413-7200 CA,$73.46,$0.00,08/31/2025
08/29/2025,RIDGELINE CAFE           800-653-8000 CA,$14.67,$0.00,08/31/2025
08/29/2025,TST* KESTREL SUSHI       GOFORWARD.ORG M,$6.00,$0.00,08/31/2025
08/29/2025,PULSE FITNESS            nabucasa.com CA,$39.00,$0.00,08/31/2025
08/30/2025,COBBLESTONE CANTINA      Internet     CA,$12.95,$0.00,08/31/2025
08/30/2025,RIVERVIEW FOODS          SEAMLESS.COM NY,$81.66,$0.00,08/31/2025
08/30/2025,JADE GARDEN NOODLE       Springfield  VA,$51.13,$0.00,09/01/2025
08/30/2025,ANCHOR AND VINE          PADDLE.COM   NY,$20.00,$0.00,09/01/2025
08/31/2025,GoFundMe Help Fund       BROOKLYN     NY,$16.80,$0.00,09/01/2025
08/31/2025,TM *CONCERTPASS          SEAMLESS.COM NY,$50.00,$0.00,09/01/2025
08/31/2025,WILDFLOWER RAMEN         NEW YORK     NY,$21.78,$0.00,09/02/2025
09/01/2025,FOXFIRE NOODLES          BOOKSHOP.ORG NY,$25.00,$0.00,09/01/2025
09/01/2025,METRO STORAGE #410       New York     NY,$27.03,$0.00,09/02/2025
09/01/2025,CLOUDSPAN HOSTING        g.co/helppay#CA,$37.62,$0.00,09/02/2025
09/01/2025,MSKCC GIVING             866-263-8325 MA,$396.28,$0.00,09/03/2025
09/02/2025,HARBOR LIGHT SUSHI       801-413-7200 CA,$30.94,$0.00,09/02/2025
09/02/2025,IRONWOOD BBQ             800-653-8000 CA,$28.92,$0.00,09/03/2025
09/02/2025,MUSICPASS* PREMIUM       GOFORWARD.ORG M,$105.73,$0.00,09/03/2025
09/03/2025,TST* TERRACOTTA          nabucasa.com CA,$225.00,$0.00,09/03/2025
09/03/2025,TIMBERWOLF HARDWARE      Internet     CA,$61.40,$0.00,09/04/2025
09/03/2025,SUMMIT GRILL             SEAMLESS.COM NY,$38.01,$0.00,09/04/2025
09/05/2025,AUTOMATIC PAYMENT - THANK YOU,($3610.54),$0.00,09/05/2025
09/05/2025,CINEMALOG                Springfield  VA,$50.00,$0.00,09/07/2025
09/06/2025,BIRCH AND BARLEY         PADDLE.COM   NY,$17.42,$0.00,09/07/2025
09/06/2025,MILLSTONE PIZZA          BROOKLYN     NY,$50.00,$0.00,09/07/2025
09/06/2025,SWIFTCAR *TRIP           SEAMLESS.COM NY,$25.34,$0.00,09/08/2025
09/07/2025,SUMMIT HOTEL             NEW YORK     NY,$24.22,$0.00,09/08/2025
09/07/2025,SEATSTREAM TICKETS       BOOKSHOP.ORG NY,$5.65,$0.00,09/08/2025
09/08/2025,TST* GOLDEN SPOON        New York     NY,$15.78,$0.00,09/09/2025
09/08/2025,MESHLINK DONATION        g.co/helppay#CA,$92.78,$0.00,09/09/2025
09/12/2025,NORTHSIDE APPAREL        866-263-8325 MA,$7.61,$0.00,09/15/2025
09/14/2025,HIGHLAND CLOTHING        801-413-7200 CA,$24.10,$0.00,09/15/2025
09/14/2025,NORTHSIDE PHARMACY       800-653-8000 CA,$47.76,$0.00,09/16/2025
09/15/2025,HARBOR FERRY SVC         GOFORWARD.ORG M,$25.00,$0.00,09/15/2025
09/15/2025,ACTBLUE CITYFUND         nabucasa.com CA,$14.14,$0.00,09/16/2025
09/15/2025,E-Z*TOLL REBILL          Internet     CA,$7.63,$0.00,09/16/2025
09/17/2025,RIDGELINE RECORDS        SEAMLESS.COM NY,$59.15,$0.00,09/18/2025
09/17/2025,AUDIOSTREAM*             Springfield  VA,$119.58,$0.00,09/18/2025
09/19/2025,TST* THE STILL POINT     PADDLE.COM   NY,$39.79,$0.00,09/21/2025
